"A-1 NUMBER OF VILLAGES, TOWNS, HOUSEHOLDS, POPULATION AND AREA",,,,,,,,,,,,,,
State  Code,District Code,Sub District Code,India/ State/ Union Territory/ District/ Sub-district,Name,"Total/
Rural/
Urban",Number of villages,,Number of towns,Number of households,Population,,,"Area
 (In sq. km)",Population per sq. km.
,,,,,,Inhabited,Uninhabited,,,Persons,Males,Females,,
01,008,00038,SUB-DISTRICT,Boniyar,Urban,0,0,0,0,0,0,0,0.00,0
01,008,00039,SUB-DISTRICT,Tangmarg ,Total,96,0,2,"16,701","102,298","54,798","47,500",111.43,918
01,008,00039,SUB-DISTRICT,Tangmarg ,Rural,96,0,0,"16,318","98,443","51,904","46,539",101.93,966
01,008,00039,SUB-DISTRICT,Tangmarg ,Urban,0,0,2,383,"3,855","2,894",961,9.50,406
01,009,00000,DISTRICT,Bandipore,Total,119,3,3,"58,392","392,232","207,680","184,552",345.00,"1,137"
01,009,00000,DISTRICT,Bandipore,Rural,119,3,0,"48,794","326,871","172,263","154,608",295.37,"1,107"
01,009,00000,DISTRICT,Bandipore,Urban,0,0,3,"9,598","65,361","35,417","29,944",49.63,"1,317"
01,009,00040,SUB-DISTRICT,Gurez,Total,28,0,0,"5,026","37,992","22,978","15,014",44.66,851
01,009,00040,SUB-DISTRICT,Gurez,Rural,28,0,0,"5,026","37,992","22,978","15,014",44.66,851
01,009,00040,SUB-DISTRICT,Gurez,Urban,0,0,0,0,0,0,0,0.00,0
01,009,00041,SUB-DISTRICT,Bandipora,Total,41,1,1,"28,360","177,738","93,034","84,704",116.21,"1,529"
01,009,00041,SUB-DISTRICT,Bandipora,Rural,41,1,0,"22,776","140,657","72,858","67,799",102.81,"1,368"
01,009,00041,SUB-DISTRICT,Bandipora,Urban,0,0,1,"5,584","37,081","20,176","16,905",13.40,"2,767"
01,009,00042,SUB-DISTRICT,Sonawari,Total,50,2,2,"25,006","176,502","91,668","84,834",184.00,959
01,009,00042,SUB-DISTRICT,Sonawari,Rural,50,2,0,"20,992","148,222","76,427","71,795",147.77,"1,003"
01,009,00042,SUB-DISTRICT,Sonawari,Urban,0,0,2,"4,014","28,280","15,241","13,039",36.23,781
01,010,00000,DISTRICT,Srinagar,Total,11,0,5,"191,678","1,236,829","651,124","585,705",1979.00,625
01,010,00000,DISTRICT,Srinagar,Rural,11,0,0,"2,844","17,313","8,916","8,397",1684.47,10
01,010,00000,DISTRICT,Srinagar,Urban,0,0,5,"188,834","1,219,516","642,208","577,308",294.53,"4,141"
01,010,00043,SUB-DISTRICT,Srinagar (North),Total,8,0,3,"188,079","1,216,358","640,847","575,511",298.07,"4,081"
01,010,00043,SUB-DISTRICT,Srinagar (North),Rural,8,0,0,"1,710","10,910","5,725","5,185",11.59,941
01,010,00043,SUB-DISTRICT,Srinagar (North),Urban,0,0,3,"186,369","1,205,448","635,122","570,326",286.48,"4,208"
01,010,00044,SUB-DISTRICT,Srinagar (South),Total,3,0,2,"3,599","20,471","10,277","10,194",12.42,"1,648"
01,010,00044,SUB-DISTRICT,Srinagar (South),Rural,3,0,0,"1,134","6,403","3,191","3,212",4.37,"1,465"
01,010,00044,SUB-DISTRICT,Srinagar (South),Urban,0,0,2,"2,465","14,068","7,086","6,982",8.05,"1,748"
01,011,00000,DISTRICT,Ganderbal,Total,113,2,3,"45,361","297,446","158,720","138,726",259.00,"1,148"
01,011,00000,DISTRICT,Ganderbal,Rural,113,2,0,"38,395","250,407","133,715","116,692",233.60,"1,072"
01,011,00000,DISTRICT,Ganderbal,Urban,0,0,3,"6,966","47,039","25,005","22,034",25.40,"1,852"
01,011,00045,SUB-DISTRICT,Lar,Total,42,0,1,"13,620","90,694","48,857","41,837",82.92,"1,094"
01,011,00045,SUB-DISTRICT,Lar,Rural,42,0,0,"12,072","80,223","43,281","36,942",73.38,"1,093"
01,011,00045,SUB-DISTRICT,Lar,Urban,0,0,1,"1,548","10,471","5,576","4,895",9.54,"1,098"
01,011,00046,SUB-DISTRICT,Kangan,Total,42,0,0,"18,326","120,934","64,723","56,211",90.44,"1,337"
01,011,00046,SUB-DISTRICT,Kangan,Rural,42,0,0,"18,326","120,934","64,723","56,211",90.44,"1,337"
01,011,00046,SUB-DISTRICT,Kangan,Urban,0,0,0,0,0,0,0,0.00,0
01,011,00047,SUB-DISTRICT,Ganderbal,Total,29,2,2,"13,415","85,818","45,140","40,678",85.96,998
01,011,00047,SUB-DISTRICT,Ganderbal,Rural,29,2,0,"7,997","49,250","25,711","23,539",70.10,703
01,011,00047,SUB-DISTRICT,Ganderbal,Urban,0,0,2,"5,418","36,568","19,429","17,139",15.86,"2,306"
01,012,00000,DISTRICT,Pulwama,Total,319,10,5,"86,241","560,440","293,064","267,376",1086.00,516
01,012,00000,DISTRICT,Pulwama,Rural,319,10,0,"75,587","479,978","248,096","231,882",1047.45,458
01,012,00000,DISTRICT,Pulwama,Urban,0,0,5,"10,654","80,462","44,968","35,494",38.55,"2,087"
01,012,00048,SUB-DISTRICT,Pampore,Total,23,3,2,"12,350","81,564","42,227","39,337",112.41,726
01,012,00048,SUB-DISTRICT,Pampore,Rural,23,3,0,"7,618","50,033","26,255","23,778",82.46,607
01,012,00048,SUB-DISTRICT,Pampore,Urban,0,0,2,"4,732","31,531","15,972","15,559",29.95,"1,053"
01,012,00049,SUB-DISTRICT,Awantipora,Total,43,3,1,"12,091","86,507","47,151","39,356",116.92,740
01,012,00049,SUB-DISTRICT,Awantipora,Rural,43,3,0,"11,008","73,860","38,169","35,691",111.92,660
01,012,00049,SUB-DISTRICT,Awantipora,Urban,0,0,1,"1,083","12,647","8,982","3,665",5.00,"2,529"
01,012,00050,SUB-DISTRICT,Tral,Total,66,0,1,"18,659","110,196","57,536","52,660",117.87,935
01,012,00050,SUB-DISTRICT,Tral,Rural,66,0,0,"16,303","92,352","47,592","44,760",117.27,788
01,012,00050,SUB-DISTRICT,Tral,Urban,0,0,1,"2,356","17,844","9,944","7,900",0.60,"29,740"
01,012,00051,SUB-DISTRICT,Pulwama,Total,187,4,1,"43,141","282,173","146,150","136,023",288.68,977
01,012,00051,SUB-DISTRICT,Pulwama,Rural,187,4,0,"40,658","263,733","136,080","127,653",285.68,923
01,012,00051,SUB-DISTRICT,Pulwama,Urban,0,0,1,"2,483","18,440","10,070","8,370",3.00,"6,147"
